immutable, that cannot be changed
scent, smell (especially pleasant)
gait, a manner of walking, stepping, or running"
elaborate, worked out with much care in great detail
indulgent, inclined to indulge
eulogy, formal praise panegyric
lampoon, publicly mock or ridicule
narcissism, Self-love
turbulence, being uncontrollably violent
refine, make or become pure cultural
bogus, sham; counterfeit; not genuine
succumb, yield, die"
massacre, cruel killing of a large number of people
dullard, a stupid, insensitive person"
pivotal, of great importance (others depend on it)
reiterate, say or do again several times
vivacious, lively high-spirited
presentiment, anticipatory fear; premonition
misanthrope, person who hates mankind
opaqueness, dullness/not allowing light to pass through
sponge, porous rubber for washing live at once expense
stray, wander lose one's way
foster, nurture; care for
cryptic, secret with a hidden meaning
sheath, cover for the blade of a weapon or a tool
evasive, tending to evade
entice, attract, lure"
retrograde, receding
embezzle, use in a wrong way for one's own benefit
relapse, fall back again
treacherous, not to be trusted, perfidious"
correlate, have a mutual relation
paradigm, a model example or pattern
fragile, easily injured broken or destroyed
timid, shy easily frightened
clientele, customers
surcharge, additional load/charge
pertain, belong as a part have reference
impede, hinder; get in the way of
fleet, number of ships; quick-moving
allegiance, duty support loyalty
volatile, changeable inconstant fickle unstable explosive
philanthropist, one who loves mankind
moderation, quality of being limited; not extreme
sanction, approval (by authority) penalty
animosity, strong dislike
suffocate, cause or have difficulty in breathing
extralegal, outside the law
recitals, a number of performance of music
scribble, write hastily
edify, instruct; correct morally
endeavor, to make an effort, to try very hard"
luminary, star; light-giving body
cumbersome, burdensome; heavy and awkward to carry
shallow, little depth; not earnest
ambivalent, having both of two contrary meanings
colloquial, involving or using conversation.
centurion, leader of a unit of 100 soldiers
edible, fit to be eaten/not poisonous
affable, polite and friendly
appease, make quiet or calm
solvent, of the power of forming a solution
flop, fail/move/fall clumsily
foolproof, incapable of failure or error
ambidextrous, able to use the left hand or the right equally well
sequence, succession connected line of
parenthesis, sentence within another one something separated
suffice, be enough
boisterous, noisy; restraint
abstruse, difficult to comprehend; obscure
writ, written order
equilibrium, state of being balanced
offhand, Without preparation or forethought
permeate, spread into every part of
